iter	Passed	Remaining
0	59	15052
1	112	14096
2	200	16659
3	264	16393
4	316	15649
5	372	15279
6	450	15779
7	514	15687
8	572	15452
9	629	15222
10	707	15501
11	763	15271
12	818	15040
13	893	15185
14	956	15113
15	1016	14994
16	1101	15232
17	1168	15194
18	1225	15034
19	1310	15207
20	1375	15131
21	1434	14996
22	1518	15121
23	1586	15068
24	1643	14925
25	1722	14968
26	1784	14872
27	1844	14755
28	1930	14842
29	1989	14725
30	2047	14596
31	2123	14601
32	2187	14519
33	2246	14401
34	2329	14445
35	2392	14353
36	2449	14233
37	2538	14298
38	2599	14194
39	2657	14082
40	2738	14091
41	2797	13986
42	2854	13876
43	2996	14167
44	3067	14108
45	3134	14038
46	3215	14024
47	3298	14018
48	3361	13927
49	3420	13820
50	3478	13709
51	3556	13678
52	3618	13584
53	3682	13502
54	3757	13457
55	3819	13368
56	3878	13267
57	3959	13243
58	4015	13135
59	4069	13021
60	4153	13006
61	4209	12899
62	4270	12812
63	4349	12776
64	4405	12675
65	4461	12572
66	4518	12475
67	4591	12424
68	4653	12341
69	4708	12243
70	4805	12249
71	4862	12155
72	4920	12064
73	5003	12035
74	5067	11960
75	5125	11870
76	5206	11831
77	5271	11759
78	5328	11669
79	5414	11640
80	5478	11564
81	5538	11482
82	5621	11447
83	5685	11371
84	5742	11282
85	5825	11244
86	5890	11172
87	5949	11088
88	6034	11052
89	6063	10914
90	6120	10828
91	6178	10745
92	6261	10705
93	6336	10651
94	6398	10574
95	6478	10528
96	6540	10450
97	6593	10360
98	6681	10325
99	6738	10242
100	6797	10161
101	6880	10119
102	6939	10039
103	6999	9960
104	7082	9915
105	7138	9832
106	7194	9749
107	7277	9703
108	7339	9629
109	7398	9550
110	7482	9504
111	7545	9431
112	7601	9350
113	7678	9295
114	7745	9226
115	7803	9148
116	7879	9092
117	7941	9018
118	7999	8940
119	8072	8880
120	8134	8807
121	8193	8731
122	8249	8652
123	8333	8602
124	8390	8525
125	8449	8449
126	8535	8400
127	8600	8331
128	8656	8254
129	8735	8198
130	8798	8126
131	8857	8052
132	8943	8002
133	9007	7932
134	9069	7860
135	9149	7804
136	9212	7733
137	9274	7661
138	9353	7604
139	9411	7528
140	9470	7455
141	9547	7395
142	9608	7324
143	9666	7250
144	9747	7192
145	9808	7121
146	9868	7049
147	9925	6974
148	10005	6916
149	10065	6844
150	10123	6771
151	10197	6708
152	10259	6638
153	10317	6565
154	10397	6506
155	10460	6437
156	10518	6364
157	10600	6306
158	10661	6236
159	10721	6165
160	10802	6105
161	10870	6039
162	10928	5967
163	10987	5895
164	11075	5839
165	11136	5769
166	11197	5699
167	11289	5644
168	11348	5573
169	11407	5502
170	11491	5443
171	11547	5370
172	11607	5300
173	11692	5241
174	11808	5195
175	11878	5129
176	11959	5067
177	12018	4996
178	12078	4925
179	12161	4864
180	12224	4795
181	12279	4722
182	12361	4660
183	12422	4590
184	12490	4523
185	12583	4464
186	12650	4397
187	12709	4326
188	12787	4262
189	12849	4193
190	12912	4123
191	12991	4059
192	13051	3989
193	13109	3919
194	13195	3857
195	13258	3788
196	13316	3717
197	13375	3647
198	13463	3585
199	13520	3515
200	13585	3447
201	13661	3381
202	13718	3311
203	13794	3245
204	13868	3179
205	13925	3109
206	13986	3040
207	14056	2973
208	14118	2904
209	14178	2835
210	14261	2771
211	14332	2704
212	14390	2634
213	14463	2568
214	14532	2500
215	14590	2431
216	14670	2366
217	14731	2297
218	14785	2228
219	14871	2163
220	14932	2094
221	14988	2025
222	15073	1960
223	15132	1891
224	15189	1822
225	15250	1754
226	15332	1688
227	15391	1620
228	15475	1554
229	15541	1486
230	15600	1418
231	15685	1352
232	15751	1284
233	15808	1216
234	15884	1149
235	15951	1081
236	16012	1013
237	16091	946
238	16151	878
239	16211	810
240	16298	743
241	16361	676
242	16422	608
243	16480	540
244	16562	473
245	16619	405
246	16678	337
247	16761	270
248	16824	202
249	16879	135
250	16964	67
251	17028	0
